text,label
is there an age limit to open an account,age_limit
how do i exchange currency,exchange_via_app
what are my options for topping up automatic and or manual,automatic_top_up
do you ship your cards anywhere,order_physical_card
why are there so many fees on my statement,extra_charge_on_statement
is there an exchange rate,exchange_rate
why wasn't a transfer to account approved,beneficiary_not_allowed
where do i access the auto top-up function,automatic_top_up
how do i report my card stolen,lost_or_stolen_card
i made a transfer and according to the receiver they haven't received the right amount its lesser than it should be now i have to transfer more money to make up for the missing amount can you please help me about this what should be done,transfer_fee_charged
how much does it cost to exchange my balance into a foreign currency,exchange_charge
how do i accept exchanges to eu,fiat_currency_support
what are the rules to where i can use my card,card_acceptance
the machine didn't work earlier when i went to get money out and now my account says transaction in progress why,pending_cash_withdrawal
i put money into my account for the minimum balance but the application didn't accept,top_up_reverted
it declined my transfer,declined_transfer
i think a fee was applied for paying with a card,card_payment_fee_charged
i'm not sure why my top up request was denied,top_up_failed
my card has been swallowed by an atm,card_swallowed
what is my top-up limit,top_up_limits
are there restrictions for my disposable card since it does not seem to be working,virtual_card_not_working
i am confused about your fee structure and was disappointed to see a fee for my transfer,transfer_fee_charged
i made a cash deposit going to my account but it is not there,balance_not_updated_after_cheque_or_cash_deposit
which atm's will accept my card,atm_support
how do i change name,edit_personal_details
how can i receive my salary in another currency,receiving_money
the transfer to my account was not allowed,beneficiary_not_allowed
how do i cancel my transaction,cancel_transfer
can i exchange currency to europe,fiat_currency_support
is verifying my identify important,why_verify_identity
i need to verify a payment to my new landlord i transferred the first rent payment a few days ago while it shows on my side the landlord is saying he hasn't received it yet can you verify that it has processed,transfer_not_received_by_recipient
i can't see my refund on my account,Refund_not_showing_up
how much would it cost me if i transfer,top_up_by_bank_transfer_charge
what currencies can i not hold many in if so what are they,fiat_currency_support
i was charged twice for a restaurant can you take the second charge off,transaction_charged_twice
are there any specific cash machines that i have to go to in order to change my pin,change_pin
i have lost my phone what steps can i take to prevent someone using my account,lost_or_stolen_phone
how do i check security settings on my card,card_not_working
where can money withdrawals be made,atm_support
my transaction is on the wrong account,cancel_transfer
what do i do if i accidentally broke my card,card_not_working
why did using an atm cause me to be charged an additional fee,cash_withdrawal_charge
i believe my top up has failed,top_up_failed
how can i get my card out of the damn atm,card_swallowed
there is a payment done with my card which i definitely did not do never seen that name before,card_payment_not_recognised
why am i seeing a transfer fee on my bank statement,transfer_fee_charged
can i exchange usd for gbp in your app,exchange_via_app
how many cards am i allowed,getting_spare_card
are the funds i requested from a merchant a few days ago in my account i do not see them,Refund_not_showing_up
will i be able to use my card anywhere,card_acceptance
how will i know what the exchange rate is,exchange_rate
2 weeks ago i ordered my new card it isn't here what should i do,card_arrival
where can i order a virtual card,getting_virtual_card
what do i need to do to transfer my paycheck to my account,receiving_money
i would like to dispute a payment i didn't make,direct_debit_payment_not_recognised
where is my deposit,balance_not_updated_after_cheque_or_cash_deposit
about this card pin,get_physical_card
i just got my new card how can i activate it,activate_my_card
the transactions showing up are strange i think my card was used without me knowing,compromised_card
what do you base your exchange rates on,exchange_rate
what is the extra fee on my statement,extra_charge_on_statement
why was one of my transfers declined,declined_transfer
what went wrong with my transfer,declined_transfer
unusual direct deposit,direct_debit_payment_not_recognised
can my job deposit my wages directly into the account,receiving_money
what are acceptable documents to prove my identity,verify_my_identity
there's an error with the rate that is charged,card_payment_wrong_exchange_rate
my refund is still pending,Refund_not_showing_up
how can i close my account i don't want it,terminate_account
the money is still in my account even though i already paid -- i don't understand what happened,reverted_card_payment?
how do i get my card back after the atm swallowed it,card_swallowed
can i get money in my home currency at my atm i am on holiday and bit concerned because i do not have any cash with me is it possible to withdraw without any additional cost,wrong_exchange_rate_for_cash_withdrawal
i bought something online a week ago and i never got it in the mail can i just get my money back now i don't want to keep waiting on something that isn't going to show up,request_refund
if my phone is missing can i block someone from using the app,lost_or_stolen_phone
i need to reset my passcode this one isn't working,passcode_forgotten
i would like to receive a few more physical cards,getting_spare_card
how long does it take for the transfer to go through,transfer_not_received_by_recipient
what are the currencies and cards that are supported with my account,supported_cards_and_currencies
i would like to top up via credit card which credit cards do you support,supported_cards_and_currencies
how do i activate my card so i can start using it,activate_my_card
i think something is wrong with your top up i've been waiting a little over an hour for this to go through can you send it through for me,pending_top_up
how do i cancel my account,terminate_account
what locations are cards delivered to,order_physical_card
i have transferred to my account before but it is being declined now,declined_transfer
i received cash from the atm earlier but this shows up as pending in the app i've got the cash already how can this be still pending,pending_cash_withdrawal
i paid with card and i was charged a fee,card_payment_fee_charged
when topping up by transfer will i be charged,top_up_by_bank_transfer_charge
i got a message saying i made a withdrawal from the bank machine but i did not,cash_withdrawal_not_recognised
is there a way to obtain a virtual card,getting_virtual_card
i need to get a card but i live in the us,country_support
i require verification for my source of funds,verify_source_of_funds
i noticed that there's a payment on my card that's pending,pending_card_payment
i believe my card has been compromised because of a strange withdrawal,cash_withdrawal_not_recognised
is the pin separately delivered,get_physical_card
how old do i need to be to get an account for myself,age_limit
how long does it actually take for a card payment to go through there's one stuck since a couple of days already that doesn't seem to move,pending_card_payment
can i have my account add money automatically in certain intervals,automatic_top_up
the app declined my top up what did i do wrong,top_up_reverted
there's an extra fee on my statement why is that,extra_charge_on_statement
i have been overcharged i just changed over russian ruble to uk pounds and it was too much it seems something was wrong with my exchange,card_payment_wrong_exchange_rate
what is the charge for exchanging currencies,exchange_charge
i made an error in payment yesterday and i need it fixed asap because it's for my rent tomorrow,cancel_transfer
what's the minimum age for opening an account,age_limit
i broke my card,card_not_working
there was money taken out of my account and i'm pretty sure i didn't do it,cash_withdrawal_not_recognised
i cannot try my pin anymore,pin_blocked
why does my statement have these extra charges,extra_charge_on_statement
what time will a transfer from the us take,transfer_timing
why can't i see the top up i made,topping_up_by_card
my card couldn't complete a transfer why,failed_transfer
it is urgency please freeze my card now as someone in some odd remote town has withdrawn some money by using my card as i did not withdraw any money,cash_withdrawal_not_recognised
i have been charged twice for the same transaction,transaction_charged_twice
my card was not in the mail again can you advise,card_delivery_estimate
how do i verify the top up,verify_top_up
where do i find my code to verify my top-up card,verify_top_up
is there a charge or discount if i use a european bank in a top up,top_up_by_card_charge
what can i do if contactless doesn't work,contactless_not_working
do you issue cards for someone living in the us,country_support
my non-physical card will not work,virtual_card_not_working
i do not see the card pin anywhere,get_physical_card
is my account able to be topped up by my friends,topping_up_by_card
what should i do if i've tried to enter my pin too often,pin_blocked
how do i get a card if i live in the us,country_support
please tell me how you can stop unauthorized payments from being made on my card since on this bill i see that this has happened there are transactions that i never made from a place i've never been to,compromised_card
hi i am trying to transfer money to another country but it is showing pending and it has been a long time i have checked numbers and they are correct could you please help,pending_transfer
how long will it take for my top up to work it's still pending,pending_top_up
i was suppose to be getting a refund for something i purchased a while ago but it still hasn't been applied to my account when will i get my money back,Refund_not_showing_up
help me activate my card,activate_my_card
can you explain more about why should i verify my identity,why_verify_identity
i'm not satisfied with the services and no longer want to be a customer,terminate_account
i have been charged way to much so something is apparently wrong with my exchange i changed russian ruble into uk pounds,card_payment_wrong_exchange_rate
has there been any activity on my card today,lost_or_stolen_card
i exchange currencies a lot can i get a discount,exchange_charge
i didn't enjoy my tutor session and want a refund back how do i go about doing this,request_refund
how long until my transfer goes through,transfer_timing
i got my new card but i am not sure if it need s activated and how,activate_my_card
in china need new card,card_about_to_expire
how is my card payment still pending,pending_card_payment
where is my new card,card_arrival
what's the u s delivery time,card_delivery_estimate
can you look to make sure the exchange rate is correct,wrong_exchange_rate_for_cash_withdrawal
i don't know what my passcode is can you help,passcode_forgotten
there is an extra charge on my app that i was not told about or i was aware of,extra_charge_on_statement
why is there a fee for getting cash,cash_withdrawal_charge
is a new debit card free,getting_spare_card
i received my salary in the wrong currency how do i change this,receiving_money
can i top up by cheque,top_up_by_cash_or_cheque
my app shows some cash i didn't get,cash_withdrawal_not_recognised
how long does it take to process transfers from europe,transfer_timing
how much does each transfer cost,top_up_by_bank_transfer_charge
please help me get a visa card,visa_or_mastercard
can you please show me where i can find the location to link my card,card_linking
how long does it take to activate the card as it does not look like its working,activate_my_card
i got my american express in apple pay why is top up not working in my country,apple_pay_or_google_pay
my cheque is slow to cash,balance_not_updated_after_cheque_or_cash_deposit
what is the identity check,why_verify_identity
what do i have to do to get my virtual card,getting_virtual_card
please provide currency exchange rates,exchange_charge
where are the locations of atms that accept this card,atm_support
my disposable virtual card is not working,virtual_card_not_working
will i get charged fees when i add money with an international card,top_up_by_card_charge
do you offer a discount for those who perform frequent currency exchanges,exchange_charge
where can i find the verification code on a top-up card,verify_top_up
the app will not let me into my account,unable_to_verify_identity
where can i find top up by cash deposit,top_up_by_cash_or_cheque
someone hacked into my cards account,compromised_card
what should i do if i don't know my password,passcode_forgotten
the expiration date on my card is coming up,card_about_to_expire
should i add money via bank transfer instead,top_up_by_card_charge
how do i make my card appear on the app,card_linking
where does the exchange rate stand right now,exchange_rate
why are my payments showing pending,pending_card_payment
i don't remember my passcode,passcode_forgotten
it's been some time ago that i placed an order and it just isn't coming at this point just give me back my money because i'm not paying them,request_refund
what is not accepted in order for me to top up my account,top_up_by_cash_or_cheque
can i verify the source of my funds,verify_source_of_funds
which atm's am i able to change my pin,change_pin
why is there a fee for using my card,card_payment_fee_charged
there is a duplicate payment on my card why,transaction_charged_twice
do i have to pay for a second card,getting_spare_card
where are the atms that accept this card,atm_support
do you have any accounts for children,age_limit
how much money can i top up,top_up_limits
i've just come back from an eating holiday in the usa and canada and have so many pending and duplicated transactions on my account i think there is something wrong can you look in to it please,transaction_charged_twice
is this open to residents of all countries,country_support
can i get more cards just incase,getting_spare_card
how do i make my top up complete,pending_top_up
i've just moved and i need to change my details,edit_personal_details
why is verifaction required for my identity,why_verify_identity
i made a check deposit but the cash hasn't arrived in my account yet,balance_not_updated_after_cheque_or_cash_deposit
how do i receive a refund for my item,request_refund
how can i track my card's delivery,card_arrival
i sees some suspicious spending on my credit card that i don't recall i had made what should i do,compromised_card
please send my card as quickly as possible,card_delivery_estimate
what's the limit to how much i can top up,top_up_limits
where do i order a virtual card from,getting_virtual_card
there was a direct debit transaction i have don't think should be there,direct_debit_payment_not_recognised
can you help me find top up by cash deposit,top_up_by_cash_or_cheque
i need a disposable virtual card please tell me how to order one,get_disposable_virtual_card
i'm trying to take money from my account but its not letting me help,declined_cash_withdrawal
is there a fee for transfer top-up,top_up_by_bank_transfer_charge
i only have one other credit card from the us do you accept that,supported_cards_and_currencies
how do i go about transferring money using my credit card,topping_up_by_card
my card payment's cancelled,reverted_card_payment?
how do i retrieve a trapped card from a atm,card_swallowed
i need the source of my funds verified how do i do this,verify_source_of_funds
why did i get less cash than what i asked in the atm,wrong_amount_of_cash_received
i would like to change the the pin on my card,change_pin
how can i exchange currencies with this app,exchange_via_app
it is still pending i am still waiting your system just shows my top-up as pending what is happening,pending_top_up
are there specific atm's that i can draw money from,atm_support
how long do i have to wait for a transfer from the us,transfer_timing
what is the fee to receive money,top_up_by_bank_transfer_charge
how do i get the contactless feature to work for my card,contactless_not_working
why has my transfer failed,failed_transfer
i'm interested in what your exchange rates are based on,exchange_rate
what is the appropriate age for my child to be able to open an account,age_limit
the atm keeps declining my card i tried at a couple different atms can you tell me if there's a problem with my account,declined_cash_withdrawal
the first payment i attempted for my card at the store earlier did not process so i had to make a second attempt the second time it worked it now appears i was charged twice after looking at the app i see a pending charge please remove the pending amount because it is clearly not accurate and was declined,transaction_charged_twice
why is my identification required,why_verify_identity
the atm at metro bank on high st kensington didn't return my card and the bank is now closed how do i get back a card swallowed by an atm,card_swallowed
i need to stop a transaction that i made,cancel_transfer
what should i do if i think someone is using my card,compromised_card
i have an issue i bought something within the past one to two weeks and have received one of the products however today the total was returned to my account what's going on here,reverted_card_payment?
where can i see money source,verify_source_of_funds
what kind of fiat currencies are supported for holding and exchange,fiat_currency_support
to receive money are there charges,top_up_by_bank_transfer_charge
can i use app to freeze my card and dispute fraud,compromised_card
after i deposited my cash i still don't see it in my account,balance_not_updated_after_cheque_or_cash_deposit
is there such thing as an auto top-up option,automatic_top_up
is it possible to have both a visa and a mastercard from you,visa_or_mastercard
can you give me a virtual card,getting_virtual_card
what is the function of the disposable cards,get_disposable_virtual_card
where is the cash from my cheque i recently deposited,balance_not_updated_after_cheque_or_cash_deposit
how long is the transfer,transfer_timing
there is a 1 extra fee in my statement,extra_charge_on_statement
my card's expiring a month from now should i place an order for the new card,card_about_to_expire
i would like to add money to my account through my american express,supported_cards_and_currencies
where can i located the auto top up function,automatic_top_up
i tried to do a transfer but it didn't go through,failed_transfer
hello i have lost my phone and i'm worried someone's going to steal money from me,lost_or_stolen_phone
i can't see my latest bank transfer,balance_not_updated_after_bank_transfer
tell me why my topup wouldn't go through,top_up_failed
i haven't received the cash from the check i deposited,balance_not_updated_after_cheque_or_cash_deposit
what if i need my salary in a different currency,receiving_money
can friends transfer money to each other,receiving_money
why hasn't my return cleared my account,Refund_not_showing_up
let me know how many disposable cards i can have,disposable_card_limits
i want to shut down my account as soon as possible,terminate_account
how many active transactions can i make with a disposable card,disposable_card_limits
can i add money to my account with cash,top_up_by_cash_or_cheque
what types of cards and money do you accept,supported_cards_and_currencies
why does the top-up need verification,verify_top_up
do you know what your exchange rates are,exchange_rate
tell me how to reset the passcode,passcode_forgotten
why am i being charged a fee for transferring money,transfer_fee_charged
if i'm getting my identity verified what all do i need,verify_my_identity
i thought i lost my card but i found it today so i would like to reactivate it,card_linking
why does my transfer say pending,pending_transfer
how long will it take to get to me,card_delivery_estimate
the atm didn't give me the amount i asked for,wrong_amount_of_cash_received
how can i top up my google pay,apple_pay_or_google_pay
there is a payment that is not mine in the app please advise,card_payment_not_recognised
where can i exchange my money for eur,fiat_currency_support
what currencies can be exchanged in the app,exchange_via_app
would i be able to refund an item,request_refund
what do i do if i find a debit charge that i know i didn't do in my billing statement,direct_debit_payment_not_recognised
why was my transfer declined,declined_transfer
daughter needs card how do i add her,getting_spare_card
can i mail in a check to top up,top_up_by_cash_or_cheque
i cannot activate my card,activate_my_card
do you charge if i use a european bank card for top up,top_up_by_card_charge
how do i set up my apple pay watch to connect to my account,apple_pay_or_google_pay
what is the maximum number of transactions i can do with a disposable card,disposable_card_limits
i transferred money and it hasn't come yet,transfer_not_received_by_recipient
my wallet was stolen along with my cards how do i put a freeze on my cards and order a new one,lost_or_stolen_card
i tried to withdraw money but i was declined,declined_cash_withdrawal
how long is a delivery to the us,card_delivery_estimate
does it cost to top up my card,top_up_by_card_charge
do i receive the physical card for free,order_physical_card
where in the app can i find out about my new pin,get_physical_card
my card isn't working at all what happened,card_not_working
there was a charge applied when i used my card,card_payment_fee_charged
i have a disposable virtual card is there a limit to how many times i can use it,disposable_card_limits
do you have a list of countries you operate in,country_support
my card is stolen help,lost_or_stolen_card
how do i check my security settings to allow contactless pay,contactless_not_working
what number of times can i top-up,top_up_limits
i got charged and extra fee when i transferred money so why was i charged,transfer_fee_charged
my top up didn't go through,top_up_failed
i might be paranoid but someone may be using my card,compromised_card
today i was out eating and my card was declined why's that,card_not_working
when will my cash withdrawal show,pending_cash_withdrawal
can you express my card to me,card_delivery_estimate
do you deal with eur,fiat_currency_support
if there isn't much money left can it automatically top-up,automatic_top_up
i've obtained the card how do i enable it on the app,card_linking
what atms is the card okay to use at,atm_support
i have an outgoing transaction,pending_transfer
where can i use my card,card_acceptance
is there a way to see where funds come from,verify_source_of_funds
i saw a fee on my app from one of my payments and i wasn't sure where it came from is there a way you can tell me when there's an additional fee for my payments,card_payment_fee_charged
is there a way to find an atm around me,atm_support
i have a fee listed for a transfer,transfer_fee_charged
i could not do a transfer because it was declined,declined_transfer
i'm confused my contactless is suddenly not working anywhere that i try to use it how do i fix it,contactless_not_working
how does my identity get verified,verify_my_identity
i bought something and the money appeared back into my account why,reverted_card_payment?
what do i need to do to verify my funds,verify_source_of_funds
my card payment is being declined and i've tried several times,declined_card_payment
how long will it take to deliver to the us,card_delivery_estimate
can i order a card,order_physical_card
i see a transfer fee but to my understand that should have been free what happened,transfer_fee_charged
why was my virtual card rejected,virtual_card_not_working
my transaction is showing several times,transaction_charged_twice
is there a fee for topping up,top_up_by_card_charge
i received a refund however i cannot see it in my account,Refund_not_showing_up
how do i receive a virtual card,getting_virtual_card
my pin is unlocked what do i do,pin_blocked
how do i change my name,edit_personal_details
the nfc payment wouldn't work on the bus today help,contactless_not_working
the contactless i have won't work,contactless_not_working
how can i move money from my account at a different bank to the account i have at this bank,transfer_into_account
the app is telling me that i am not me,unable_to_verify_identity
my card hasn't arrived in the mail yet i ordered it two weeks ago what can i do,card_arrival
what fiat currencies are used for holding transactions,fiat_currency_support
there are charges on my card that i haven't purchased,compromised_card
why can't i verify my id,unable_to_verify_identity
why hasn't my recipient received their money,transfer_not_received_by_recipient
my cash withdrawal says pending why,pending_cash_withdrawal
can i add a card that i just found again to the app,card_linking
how do i know when my card will expire,card_about_to_expire
please assist me with activation,activate_my_card
why is my beneficiary not working,beneficiary_not_allowed
how many disposable virtual cards can you have,disposable_card_limits
i didn't initiate a direct debit that i see on my account,direct_debit_payment_not_recognised
can i transfer my payroll to the bank,receiving_money
why can i not transfer money into my account,transfer_into_account
how much is the charge to top up via credit card,top_up_by_card_charge
where is my virtual card located,getting_virtual_card
there is a payment in my app that i did not make i have not used that card all day please reimburse my money,direct_debit_payment_not_recognised
why was i charged extra using my card,card_payment_fee_charged
what is the first step i need to make for being able to access my account,why_verify_identity
how many days processing new card,contactless_not_working
please tell me where i can update my details since i moved,edit_personal_details
i want to know which currencies and cards are supported can you provide a list,supported_cards_and_currencies
i tried to access money earlier but the machine seems not to be working after looking the transaction actually shows to still being process can you find out what is going on here i don't want to be charged for some money i never got,pending_cash_withdrawal
i got less money than i asked for,wrong_amount_of_cash_received
can i use swift transfers,top_up_by_bank_transfer_charge
i made the incorrect payment for my rent yesterday and this needs to be fixed by no later than tomorrow how can you help,cancel_transfer
how was i charged extra when i used my card to pay,card_payment_fee_charged
i have a problem with a transfer it didn't work can you tell me why,declined_transfer
the cheque i sent a few days ago has not been deposited yet what is the hold up,balance_not_updated_after_cheque_or_cash_deposit
my preference is mastercard,visa_or_mastercard
do you support top ups,top_up_reverted
will i be charged a fee to top up using a debit or credit card,top_up_by_card_charge
how do i delete my account,terminate_account
what's the process to receive a second card,getting_spare_card
i'd like to have it delivered on saturday is that possible,card_delivery_estimate
i want to delete my account,terminate_account
i'd like to make some changes to my personal information,edit_personal_details
was there a way for me to get tracking for that,card_arrival
i don't know if this is an issue with the atm or my account but i just tried withdrawing 30 pounds from the atm i'm at now and it only gave me 10 is this a glitch or what exactly is going on,wrong_amount_of_cash_received
am suspicious of my card's security,compromised_card
i am in the eu can i get one of your cards,country_support
what fiat currencies can i use for holding and exchanging,fiat_currency_support
what things do i need to verify my identity,verify_my_identity
what is the exchange rate like,exchange_rate
how can i locate the virtual card,getting_virtual_card
i took out some cash from the atm but it is still showing the transaction is pending,pending_cash_withdrawal
hello i made a bank transfer couple hours ago from my uk account but it doesn't show up yet can you please check if everything is alright with it,balance_not_updated_after_bank_transfer
i checked my account and see that funds were deducted from a seller i didn't approve of can you help me understand,direct_debit_payment_not_recognised
is there an amount limit to my top-up,top_up_limits
are my contactless settings correct i tried to use it today but it wasn't working,contactless_not_working
why won't the machine accept my card anymore,card_not_working
i made a cash deposit and the balance wasn't updated,balance_not_updated_after_cheque_or_cash_deposit
i have noticed that my account was double charged for a couple of items this week please review and refund the double charged items back,transaction_charged_twice
how do i withdraw money,atm_support
i withdrew some cash out of the atm over the holiday it seems that i was charged some outrageous fees i would not have done that had i been aware of these outrageous charges,wrong_exchange_rate_for_cash_withdrawal
i lost my passcode,passcode_forgotten
hello i changed my mind and really need a refund on one of things i bought recently can you please cancel the transaction and get my money back please it's urgent,request_refund
i need help fixing my contactless it's not working anywhere i go today,contactless_not_working
i must change my pin as soon as possible,change_pin
is there something wrong with your website i tried topping up my account and it's been close to two hours now and it's still at pending for some reason i just joined with you guys and this is the first attempt at this so maybe i'm wrong but shouldn't this be instant,pending_top_up
my transfer didn't complete why can't i access funds,failed_transfer
what will i be charged for a physical card,order_physical_card
what is the procedure of unblocking my pin,pin_blocked
someone has been using my card there are unfamiliar transactions on there can you freeze the card to keep this from happening,compromised_card
mastercard is my preferred company,visa_or_mastercard
i'd like to open an account for my kids can i do that,age_limit
i know i have enough funds in my account but my card payment hasn't worked for some reason what do i do,declined_card_payment
i was mugged yesterday and they took everything i can't access my app what are my next steps,lost_or_stolen_phone
why did i not get the amount of money i requested,wrong_amount_of_cash_received
how old do you have to be to get an account,age_limit
i prefer to get a mastercard,visa_or_mastercard
tell me what i should do after my card expires,card_about_to_expire
i don't think that my top-up worked,top_up_failed
what is the longest a us transfer should take to appear in my account,transfer_timing
which forms of currency are accepted,supported_cards_and_currencies
i'm not seeing my cash deposit showing up in my account,balance_not_updated_after_cheque_or_cash_deposit
do i have a choice for a mastercard,visa_or_mastercard
what fiat currencies are used for exchange,fiat_currency_support
is there a reason my top up hasn't gone through,pending_top_up
what do i do if i think my card was improperly used,compromised_card
i'm wondering how long it takes for my money to get to me after a bank transfer,balance_not_updated_after_bank_transfer
what do i do if my card is expiring soon,card_about_to_expire
it says that my payment is pending what does that mean,pending_card_payment
what are your currency exchange fees,exchange_charge
my top up card needs verification and i don't know how to do it,verify_top_up
how do i know why my card isn't working,card_not_working
how can i reset my pin,change_pin
can you tell me why i can't make any transactions,card_not_working
how did you come up with your exchange rates,exchange_rate
how can i fill up my gas tank using a check,top_up_by_cash_or_cheque
my cash deposit from a week ago is still not in my account can you help me please,balance_not_updated_after_cheque_or_cash_deposit
what's the procedure for getting a card,order_physical_card
when shipped to the us how long is delivery time,card_delivery_estimate
will i be charged for a cash withdrawal,cash_withdrawal_charge
what are the steps to activate my card,activate_my_card
how do i transfer funds if i am paid in gbp,receiving_money
i am not being recognized by the app,unable_to_verify_identity
i need my card quick,card_delivery_estimate
what countries are you located in,country_support
what locations can i top up with cash,top_up_by_cash_or_cheque
why was my card payment declined,declined_card_payment
i topped up about half an hour ago and the charge is still pending i'm a new customer and today is my first time doing this can you fix it it doesn't seem to be working,pending_top_up
how do i add a card on to the app,card_linking
my transfer did not work what was the reason,failed_transfer
are multiple currencies acceptable,fiat_currency_support
is the system down i've been trying to do a transfer and have failed,failed_transfer
i purchased some makeup through a site in china and i was under the impression that when i make transfers there is no fee why am i seeing this fee now i am not happy about this at all,transfer_fee_charged
what do i do if my pin was blocked,pin_blocked
can you tell me how to order a virtual card,getting_virtual_card
how should i add money to my card,top_up_by_card_charge
i don't know why my card payment did not work,declined_card_payment
may i have a second card,getting_spare_card
is it possible to exchange usd and gbp on the app,exchange_via_app
show me how to link the new card,card_linking
i need help- i got mugged yesterday and they took everything so i can't use the app,lost_or_stolen_phone
can i use any currency to add money,supported_cards_and_currencies
why does my statement show various transaction times,transaction_charged_twice
verify my source of funds,verify_source_of_funds
what do i need to see my source of money,verify_source_of_funds
why do i need to verify my account,why_verify_identity
my transfers are being declined it has always worked for me but now it's declining my card i've tried several times,declined_transfer
what is the number of transactions i get with a disposable card,disposable_card_limits
i have questions about how to transfer money to my account,transfer_into_account
can my 8 year old grandson open an account at the bank,age_limit
explain why my top up would be reverted,top_up_reverted
why has my top-up not worked,top_up_failed
is the exchange rate the same on weekends as the weekdays,exchange_rate
last week i put a cash deposit into my account and it is still isn't there,balance_not_updated_after_cheque_or_cash_deposit
help me when i was abroad the exchange rate was wrong,wrong_exchange_rate_for_cash_withdrawal
how do i reset my pin,pin_blocked
can i use american express with apple pay why does it make my top up not work,apple_pay_or_google_pay
how do i know what my pin is,get_physical_card
will i be able to get a disposable virtual card as well,get_disposable_virtual_card
how long does it take for a transfer to be in my account,transfer_timing
i am not happy with your company please delete my account asap,terminate_account
i would rather the mastercard,visa_or_mastercard
i didn't set up the direct debit i have,direct_debit_payment_not_recognised
i tried to transfer money to a receiver and they didn't get the right amount what is going on and who do i contact to help me,transfer_fee_charged
is the closest atm to me within 2 miles,atm_support
the atm won't give me my card back,card_swallowed
i want information about the source of funds,verify_source_of_funds
i need to cancel a transaction,cancel_transfer
how do i get my card out of the atm,card_swallowed
i am not able to verify my id why,unable_to_verify_identity
why is my check still not showing up on my account it's been a week already,balance_not_updated_after_cheque_or_cash_deposit
what do i do if i've been charged twice for the same transaction,transaction_charged_twice
what steps must i follow to get a visa credit card,visa_or_mastercard
can you tell my why my funds transfer did not work properly,failed_transfer
the card is non-functional,card_not_working
i need to know where this charge is coming from,card_payment_not_recognised
the atm i used for foreign currency provided the wrong exchange rate,wrong_exchange_rate_for_cash_withdrawal
so i just went to the atm to get some cash i input that i needed 100 pounds but i only got 80 i have the receipt and i am in need of the extra money how do i go about obtaining the missing amount,wrong_amount_of_cash_received
please delete account,terminate_account
my money hasn't been deposited yet when will it be,pending_top_up
i have an unknown debit charge in my statement why,direct_debit_payment_not_recognised
i want to change my pin,change_pin
my payment did not go through because the app reverted it,reverted_card_payment?
are you able to locate my card,lost_or_stolen_card
any place that takes mastercard would be fine,card_acceptance
how do i find the top-up verification code,verify_top_up
it seems that something went wrong with my exchange i changed russian ruble into uk pounds but have been charged entirely too much,card_payment_wrong_exchange_rate
how much would i be charged for a transfer,top_up_by_bank_transfer_charge
a payment that i didn't make appears in my app,card_payment_not_recognised
guide me on how to unblock my pin,pin_blocked
i have a payment that has not gone through yet,pending_card_payment
can you explain why my google pay top isn't working,apple_pay_or_google_pay
what is the process for activating a new card,activate_my_card
i'm trying to make a bank transfer but it's not going through could there not be enough funds to transfer or something have i done it too many times,failed_transfer
